vsini_esphs,distance_msc,spectraltype_esphs
54.07443,142.24149,A
129.94571,99.3123,O
7.382553,142.68065,B
94.48755,103.44244,B
198.12555,119.16962,B
135.12526,135.16823,A
59.00083,114.25925,B
106.17034,125.28119,A
2.8749895,147.60417,B
101.74282,144.61087,A
67.86614,149.30748,A
34.03159,119.80611,B
138.89212,98.484726,B
197.76657,117.57839,O
170.89117,132.49557,O
69.69469,131.86002,B
0.54780257,140.07059,B
139.52164,105.17339,O
137.0508,94.35338,O
112.8164,119.94364,B
344.92627,146.18604,O
2.76538,95.42939,O
86.154976,144.58913,B
0.14208338,110.745346,O
118.87431,145.07611,B
9.767127,140.83311,B
60.367863,67.78439,O
50.074028,118.65388,B
173.8876,146.90439,B
265.82364,100.92174,B
51.571728,107.24255,B
83.217766,149.35364,B
119.84576,130.43954,B
82.111084,107.62311,B
102.29017,119.6324,B
23.160015,130.83311,B
227.22527,133.30637,O
92.86618,100.77723,B
108.67193,61.38149,B
177.6898,120.46698,O
134.30318,134.04874,B
61.026814,147.40858,A
168.89113,64.9955,B
123.35998,100.90583,B
186.27162,135.62543,B
31.336958,119.37038,A
37.70231,139.93535,B
84.65319,142.73685,B
131.48209,91.05962,O
10.886164,140.57779,B
52.197994,115.57663,B
164.67287,146.41711,A
260.1649,149.45966,O
112.72637,97.35821,O
233.97543,19.766823,B
222.85205,135.55896,A
66.5027,128.40302,A
2.8586018,145.0578,B
115.29677,143.62015,A
114.81833,134.30083,A
1.1174428,130.36942,B
1.4447516,129.53058,B
149.73038,95.894646,A
42.76949,97.947426,B
0.43023205,120.64421,B
144.88608,147.75134,A
105.69972,106.594894,B
104.71081,54.667835,O
165.12482,122.821335,B
93.03731,148.94714,O
1.5463262,111.43265,O
65.02591,139.60625,O
155.68143,92.05798,O
407.05054,137.7995,B
161.31361,123.32489,B
128.86792,127.97215,B
88.50756,114.85251,B
217.29706,124.567184,B
351.47556,64.873375,O
312.54218,113.61191,O
213.14565,139.85919,O
159.96086,109.14853,B
230.65076,75.81746,B
79.81407,148.37646,B
23.593544,108.03555,B
81.823715,77.97781,B
114.26107,135.39723,B
59.654434,132.16682,B
164.64323,104.1541,O
116.432106,73.456955,O
4.762672,127.474365,B
120.021965,148.14877,B
132.76773,137.18283,O
2.9328883,144.47725,B
20.844707,130.55534,B
56.32255,129.68573,B
68.2066,137.93988,B
71.94711,93.72702,B
2.94521,106.21807,B
82.84659,146.36206,A
63.127224,146.65105,B
152.77396,147.84036,A
208.44664,142.31606,A
72.325554,148.03748,B
6.5167766,138.96574,B
128.883,103.73872,B
108.07783,127.459915,B
96.776566,145.29572,B
86.17667,118.493614,B
122.165054,124.529144,O
91.99043,131.18063,B
93.74172,100.224625,B
144.29523,114.13249,O
34.868618,149.24414,B
234.51305,119.78929,B
153.63884,115.55966,A
82.37533,106.67563,B
7.160118,128.27835,B
32.214775,141.61436,B
184.88176,146.67358,O
1.9989243,145.13556,O
64.89846,144.82382,B
107.23043,77.95108,O
82.32828,135.8255,B
30.727402,119.701614,B
81.1619,142.49225,B
126.40148,114.45625,B
115.57082,57.667145,B
124.92758,147.08966,B
100.06303,85.82095,B
52.200077,130.12408,A
63.82358,107.348465,B
239.7491,149.71497,A
22.573332,111.19674,B
121.09419,134.70192,B
97.863556,105.98575,O
94.851135,144.96065,O
27.884367,142.67538,B
0.6012285,97.094604,O
4.822976,133.717,B
80.7583,125.56076,B
188.92303,128.224,A
7.660976,126.781105,B
75.5634,126.82454,A
269.01273,147.54385,A
102.147995,105.906555,O
80.59479,119.9362,O
30.79936,125.28432,B
141.13516,125.110016,O
41.97894,128.25873,A
226.31334,139.39821,A
74.10388,147.48422,B
152.22708,143.13245,O
7.582083,136.41711,O
60.140587,114.55271,B
10.741374,148.71063,B
201.26877,109.622986,O
105.78459,77.15279,O
82.70257,141.47244,B
149.7368,116.45031,O
281.72107,147.01535,B
2.7830708,139.05316,O
143.28539,137.32921,O
53.25459,135.02457,B
2.45139,146.40268,B
146.43437,75.14557,B
144.5514,92.6766,B
94.13741,60.699905,O
48.497894,127.07666,A
150.03612,145.96188,A
125.588684,140.50021,B
202.00626,128.01685,A
52.975178,134.11578,A
54.22425,135.08026,B
82.83581,135.89877,B
136.36316,135.63113,A
120.933754,83.29657,O
102.44566,104.93033,O
53.429684,119.71534,O
203.09682,148.36649,O
133.69327,64.478714,O
157.23232,138.75046,O
65.87259,128.80292,B
183.7712,125.59317,O
150.03862,73.07854,O
180.70775,136.20291,O
136.5816,125.00713,O
71.58139,141.37173,B
86.256294,145.33395,B
109.69031,116.51317,B
120.34981,134.58026,B
42.30764,136.27399,B
155.72783,93.300735,O
56.150707,127.985054,B
36.941906,103.573616,B
64.55306,129.84038,B
42.039307,121.92583,A
249.94614,136.81119,B
162.52095,111.3769,A
94.81688,146.34576,B
274.08893,133.24359,O
55.98112,137.63922,B
193.02203,145.42188,B
30.703653,121.917725,B
120.855095,136.72531,B
129.2183,115.09213,B
288.79333,125.551186,B
308.2304,112.0825,O
83.204185,147.39828,B
194.57271,142.78418,O
118.77288,65.38985,B
5.652964,140.81757,B
112.42141,118.19755,B
52.563595,100.63655,B
170.06581,136.92789,B
97.80939,144.95432,O
87.33844,82.61301,B
230.95586,109.64432,O
117.94482,121.51294,O
198.13347,85.980255,O
147.73386,86.266624,O
162.19745,134.06061,O
183.43344,136.99995,O
101.30231,124.61804,B
136.69061,100.80091,B
95.770256,139.68576,B
293.71313,134.48605,O
528.1444,105.18965,O
70.40257,90.41818,O
226.33353,126.04919,O
58.919373,145.04422,B
135.87961,115.403984,B
22.164274,124.77324,B
0.7913645,88.347916,O
218.67874,113.667496,O
64.41171,114.5043,O
56.827988,128.26233,B
103.23368,118.46165,B
71.33355,112.67639,B
16.67936,132.66183,B
158.01848,108.05866,B
60.78968,129.6698,B
65.57515,149.10947,A
130.37875,137.50925,B
74.72525,113.70929,B
66.61847,132.69275,O
55.860462,81.697495,O
21.684433,110.45857,B
193.9736,86.10632,O
67.15856,126.83766,A
60.723404,104.89751,B
92.06758,137.71907,A
1.9288602,120.844666,A
147.59683,129.9487,B
167.67662,116.05482,B
75.95595,144.04913,B
26.32804,143.09247,B
75.91016,109.86605,B
162.99101,126.96492,O
142.06378,130.34888,O
127.74327,136.73476,O
109.36378,144.83278,B
136.51317,145.07251,A
175.6208,93.05649,A
136.4977,143.64017,A
163.31114,105.00427,A
276.66132,105.10015,B
120.158165,133.85886,A
304.79694,133.01845,A
143.01923,114.7176,A
90.75738,148.41777,B
53.132984,146.98419,B
69.10428,62.86473,B
54.708355,146.90253,B
72.49934,141.4769,B
146.00279,103.598434,O
132.65048,100.16318,O
167.46712,133.63898,O
114.976234,87.173935,O
149.64153,130.48755,B
108.87505,109.41938,B
126.74455,137.83484,A
372.2818,149.3135,O
104.511154,123.71531,O
240.55798,136.64204,O
90.48403,106.061554,B
96.45337,131.13281,A
207.98837,144.4253,B
107.19792,110.27544,B
40.75909,125.96045,B
234.64516,133.16312,A
102.38196,83.21769,O
60.086758,148.73828,B
1.2980815,125.76993,B
34.70512,128.11383,B
95.90972,128.0351,B
86.9923,146.15944,A
70.45,149.68294,B
91.895836,120.63643,B
16.849424,104.89,A
105.455574,137.4878,B
126.11677,117.15961,B
39.75892,143.19891,B
34.28555,143.59267,B
2.291706,149.99805,B
1.8547068,144.40799,B
267.8327,117.850815,B
224.49925,132.70284,B
118.68719,108.81791,A
245.2154,143.74924,A
235.51338,111.160995,B
71.107285,129.17949,A
241.69652,87.16492,A
150.47534,140.45042,A
222.87598,106.7106,A
145.63196,125.37097,B
2.6920989,96.84707,B
123.37903,109.436844,B
180.88426,130.85248,O
107.9679,117.84108,B
173.43976,87.846954,O
79.21136,148.68448,O
62.795753,106.66904,O
147.39514,125.02093,B
171.54733,142.97058,B
178.10094,124.90242,B
126.344376,117.18019,B
76.64318,129.80852,B
55.349403,125.83789,B
24.757578,132.08131,B
140.76408,143.97862,B
100.89815,82.83058,O
10.756553,121.31034,O
188.59828,93.009476,O
74.36157,137.9849,B
289.57904,119.96652,O
123.74563,118.892204,B
184.97818,115.66997,B
154.95782,105.52179,B
99.10982,141.2302,B
166.89653,95.10173,O
172.95319,141.75229,B
114.12717,120.42998,B
14.334912,100.05505,O
80.48097,131.12012,B
1.8570803,139.12566,B
3.5865176,136.52736,B
62.13752,88.83345,B
405.80713,146.16635,O
195.90633,128.03726,B
88.05088,74.544754,O
35.095436,75.85787,O
9.690619,114.37695,O
1.8493252,145.76472,B
482.2193,113.65292,O
143.75488,128.67865,B
150.76552,99.1788,B
9.746894,122.4527,B
341.50397,95.86824,B
213.73576,117.90677,O
96.02673,77.63013,B
0.92843646,115.099365,O
59.99798,132.64542,B
70.22886,96.631134,B
126.62048,145.84654,A
22.122849,112.0916,B
278.7447,123.84098,A
211.28476,89.353134,A
2.977995,142.86029,O
49.047276,118.633255,B
26.653309,133.18906,B
46.46763,124.3176,B
170.33804,109.10904,O
114.83875,116.59357,O
126.56826,71.31596,O
113.36086,101.61223,B
122.10796,114.413445,O
39.46678,96.57065,B
82.33329,89.34346,B
191.30434,145.69955,O
3.0245547,84.03093,B
122.35154,146.37755,O
77.19305,95.037766,B
9.902141,148.19131,B
63.742603,103.626564,B
174.37299,111.09834,A
62.365574,97.93084,B
64.62526,100.26994,A
80.967316,88.56496,B
287.22244,142.22316,B
305.79822,111.55078,A
26.058792,136.19125,B
57.490158,124.245834,O
14.799069,141.55347,B
54.10255,114.65961,B
170.83505,87.73555,A
148.97803,138.09625,B
95.16548,83.462776,O
109.35809,78.24959,O
129.93832,103.09024,O
66.90101,114.25075,B
69.37072,112.46741,B
61.053032,115.77155,B
53.16878,147.39069,B
105.23714,148.43378,B
139.75764,112.88394,B
81.53005,139.97672,B
227.62267,135.44302,B
141.6574,134.0154,B
84.35045,137.06602,A
50.587177,148.7721,B
108.58208,131.31772,B
329.82584,144.40613,B
99.490234,137.64134,O
63.897095,132.59158,B
164.4009,111.56624,O
100.08207,99.84886,O
4.125107,132.48767,B
51.428764,113.1313,B
87.67304,109.565674,B
61.747276,137.16364,B
90.20198,147.36313,B
126.321335,109.46951,B
98.13927,106.12839,B
61.917667,147.24112,B
1.5347188,144.81613,O
161.04884,86.93318,O
1.8098507,125.02261,B
55.57213,119.58728,B
119.5524,136.67494,B
91.34921,133.05711,B
285.96774,121.40935,A
61.113903,138.59573,B
62.008175,135.52373,A
277.27042,120.63603,A
86.888565,64.876236,O
130.1839,139.20474,B
125.6442,119.23251,B
142.45442,108.52731,B
84.51138,101.023575,B
126.420074,82.75643,O
70.096855,140.0037,B
2.469362,139.3942,B
30.546122,104.27553,B
142.72443,137.26099,B
89.109604,113.89702,A
94.41997,146.45358,B
28.654518,88.52793,A
0.79389966,87.15622,B
66.38124,111.596436,B
117.346664,148.26523,O
332.51035,132.03915,A
221.6317,141.30576,B
130.12169,134.97876,O
56.01451,130.97897,A
149.14426,124.54254,A
77.11359,137.85617,B
73.37843,126.42203,B
181.56604,140.28532,B
80.88604,147.85225,B
249.23769,122.79723,B
96.848465,118.32857,B
303.1394,142.5755,B
30.024199,59.81777,O
99.30649,134.42242,A
220.04256,144.36804,B
60.37429,124.50847,B
186.20721,112.782585,B
179.38274,144.58357,O
231.84663,141.68988,A
176.02599,126.806854,O
224.8939,122.80408,O
41.734238,123.14108,B
131.9766,140.3039,B
221.44089,140.44348,B
56.53025,127.14096,B
118.149826,106.06027,B
45.400295,72.80203,O
1.0141569,149.17647,B
27.9194,115.63791,B
55.488476,120.12964,B
138.7007,142.75653,O
236.96576,140.40405,O
1.0472913,124.28426,B
56.181614,142.48077,B
188.54756,148.31131,B
175.41699,132.9373,B
111.40815,112.65477,O
184.22006,102.27492,O
117.07296,79.53225,B
57.29019,144.07593,B
67.60767,146.11095,B
176.47041,147.749,O
160.0268,99.14478,O
227.99564,136.69852,B
93.15637,109.30791,O
65.03027,110.61191,B
77.87873,108.42503,A
185.69638,111.81239,B
69.70641,138.02716,B
128.02753,137.0177,B
82.42221,118.370605,B
114.98634,137.43419,B
194.38194,120.70767,O
15.370641,107.020294,O
166.1807,139.67957,B
56.244907,78.59895,B
69.426056,127.373245,B
160.77116,98.13679,B
89.53055,99.30728,B
165.00595,92.40683,B
43.56148,79.36659,B
127.42739,137.61194,B
168.8033,141.20023,O
0.08960594,142.56519,O
93.290245,112.131516,B
88.26877,118.37509,B
171.4598,88.85886,O
96.3798,138.68018,B
10.789867,132.68616,B
44.122707,140.86226,B
80.48992,140.86856,B
0.1231766,115.49858,B
136.69283,139.11938,O
85.952065,135.35625,B
277.4777,102.93515,B
330.91037,121.40988,B
87.35936,116.52955,A
5.924523,145.58835,A
216.02237,132.83972,A
89.09261,141.40494,O
74.1257,147.17896,B
338.0357,127.98839,B
0.9095895,95.2852,O
112.4568,134.58034,A
156.50476,101.49857,O
74.25093,110.83846,B
170.26546,137.77866,O
137.40697,131.49146,B
135.87799,106.82988,B
142.6218,124.44508,B
137.87372,95.55104,O
93.44045,48.44291,B
65.82181,140.71352,B
29.519337,122.11194,B
25.561766,138.50343,B
155.33023,142.29855,B
30.305754,143.42744,B
11.020587,145.75772,B
163.82144,82.89783,O
101.72441,145.64993,O
65.417885,79.13929,B
166.58853,54.903503,O
393.40765,113.45805,O
39.928192,147.3411,B
101.70903,138.08469,O
40.43851,138.603,B
94.5289,143.03293,A
114.52794,137.44382,B
186.66649,145.82626,O
4.9908085,130.69984,B
59.029057,130.0091,B
116.35565,139.12848,B
168.27682,142.1175,O
49.74735,119.54068,B
167.5367,136.82388,O
49.4025,103.115005,A
17.830256,86.74254,A
94.23285,102.65592,O
205.33662,140.58774,B
178.12492,107.59836,O
194.51117,82.00836,O
92.57547,125.612915,B
60.528465,106.15315,O
170.25328,107.7377,O
131.79889,121.240234,O
127.09894,102.80385,B
183.79944,116.1348,B
143.01126,92.87414,A
224.94875,65.246506,O
136.48962,147.08134,B
22.15914,141.69348,B
199.39465,137.85274,B
69.07306,109.24696,B
92.59408,84.288284,A
114.9082,127.5298,A
40.840866,133.06763,B
59.263943,146.60902,B
209.14514,139.72989,A
109.82454,134.34357,B
85.2797,133.03871,B
54.773407,97.2856,B
64.131874,132.00787,B
27.282255,140.54826,B
116.37415,121.163055,O
9.453459,142.24002,B
217.9649,99.93421,A
134.69197,106.769226,B
88.64335,139.92236,A
82.616974,129.68951,B
86.4992,139.52357,A
112.18474,44.604683,O
13.847467,142.98737,B
115.64367,116.48941,O
229.84993,134.16347,O
69.49019,106.03459,O
103.68204,51.033512,O
96.69711,145.28833,B
153.67625,128.718,O
172.39047,123.975784,O
113.13184,147.19504,B
271.17972,111.09758,A
56.098923,129.874,B
1.6392907,113.25978,B
241.1357,71.675644,O
133.46933,118.9695,O
2.735988,120.76839,B
1.482784,113.24773,B
73.69476,144.51111,B
36.099873,85.75673,B
143.33543,94.7413,O
207.40152,128.14029,A
